index,CustomerID,TotalTransactions,TotalQuantity,TotalSpending,FirstPurchase,LastPurchase,CustomerLifetime,AvgOrderValue,PurchaseFrequency
0,12346.0,1,74215,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,0,77183.6,1.0
1,12347.0,7,2458,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,365,615.7142857142857,0.01912568306010929
2,12348.0,4,2341,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,282,449.31,0.014134275618374558
3,12349.0,1,631,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,0,1757.55,1.0
4,12350.0,1,197,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,0,334.4,1.0
5,12352.0,8,536,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,260,313.255,0.03065134099616858
6,12353.0,1,20,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,0,89.0,1.0
7,12354.0,1,530,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1079.4,1.0
8,12355.0,1,240,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,0,459.4,1.0
9,12356.0,3,1591,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,302,937.1433333333333,0.009900990099009901
10,12357.0,1,2708,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,0,6207.67,1.0
11,12358.0,2,248,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,149,584.03,0.013333333333333334
12,12359.0,4,1622,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,274,1593.145,0.014545454545454545
13,12360.0,3,1165,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,148,887.3533333333334,0.020134228187919462
14,12361.0,1,91,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,0,189.9,1.0
15,12362.0,10,2229,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,292,522.6229999999999,0.034129692832764506
16,12363.0,2,408,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,276.0,0.015037593984962405
17,12364.0,4,1506,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,104,328.275,0.0380952380952381
18,12365.0,2,174,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,0,320.69,2.0
19,12367.0,1,173,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,0,168.9,1.0
20,12370.0,4,2353,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,309,886.4225,0.012903225806451613
21,12371.0,2,591,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,14,943.98,0.13333333333333333
22,12372.0,3,794,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,224,432.68,0.013333333333333334
23,12373.0,1,197,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,0,364.6,1.0
24,12374.0,1,342,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,0,742.9300000000001,1.0
